,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
IL,11426518.0,11443458.0,11423412.0,11408818.0,11412132.0,11399806.0,11387257.0,11391178.0,11390183.0,11409782.0,11453316.0,11568964.0,11694184.0,11809579.0,11912585.0,12008437.0,12101997.0,12185715.0,12271847.0,12359020.0,12434161.0,12488445.0,12525556.0,12556006.0,12589773.0,12609903.0,12643955.0,12695866.0,12747038.0,12796778.0,12841578.0,12860012.0,12870798.0,12879505.0,12867544.0,12839047.0,12801539.0
IN,5490224.0,5480435.0,5467922.0,5450395.0,5458322.0,5459211.0,5454108.0,5473012.0,5491735.0,5523693.0,5557798.0,5616388.0,5674547.0,5739019.0,5793526.0,5851459.0,5906013.0,5955267.0,5998880.0,6044969.0,6091866.0,6127760.0,6155967.0,6196638.0,6233007.0,6278616.0,6332669.0,6379599.0,6424806.0,6459325.0,6490528.0,6516480.0,6537743.0,6569102.0,6595233.0,6612768.0,6633053.0
IA,2913808.0,2907983.0,2888189.0,2870543.0,2858618.0,2829684.0,2791970.0,2767011.0,2768388.0,2770592.0,2781018.0,2797613.0,2818401.0,2836972.0,2850746.0,2867373.0,2880000.0,2891119.0,2902872.0,2917634.0,2929067.0,2931997.0,2934234.0,2941999.0,2953635.0,2964454.0,2982644.0,2999212.0,3016734.0,3032870.0,3050738.0,3065223.0,3076310.0,3091930.0,3108030.0,3121997.0,3134693.0
KS,2363679.0,2384849.0,2401202.0,2415531.0,2424086.0,2427405.0,2432619.0,2445367.0,2461996.0,2472849.0,2481349.0,2498722.0,2532394.0,2556547.0,2580513.0,2601007.0,2614554.0,2635292.0,2660598.0,2678338.0,2693681.0,2702162.0,2713535.0,2723004.0,2734373.0,2745299.0,2762931.0,2783785.0,2808076.0,2832704.0,2858850.0,2869503.0,2885262.0,2892821.0,2899360.0,2906721.0,2907289.0
KY,3660777.0,3670394.0,3683445.0,3694484.0,3695453.0,3694826.0,3687809.0,3683329.0,3679999.0,3677306.0,3694048.0,3722328.0,3765469.0,3812206.0,3849088.0,3887427.0,3919535.0,3952747.0,3985390.0,4018053.0,4049021.0,4068132.0,4089875.0,4117170.0,4146101.0,4182742.0,4219239.0,4256672.0,4289878.0,4317074.0,4348662.0,4369354.0,4384799.0,4400477.0,4413057.0,4424611.0,4436974.0
LA,4205900.0,4283303.0,4352608.0,4395316.0,4400477.0,4408118.0,4406919.0,4344148.0,4288863.0,4252894.0,4221532.0,4253279.0,4293003.0,4316428.0,4347481.0,4378779.0,4398877.0,4421071.0,4440344.0,4460811.0,4471885.0,4477875.0,4497267.0,4521042.0,4552238.0,4576628.0,4302665.0,4375581.0,4435586.0,4491648.0,4544996.0,4575404.0,4603429.0,4626402.0,4647880.0,4668960.0,4681666.0
ME,1124660.0,1133033.0,1136684.0,1144772.0,1155635.0,1162936.0,1170126.0,1184574.0,1203840.0,1219961.0,1231719.0,1237081.0,1238508.0,1242302.0,1242662.0,1243480.0,1249060.0,1254774.0,1259127.0,1266808.0,1277072.0,1285692.0,1295960.0,1306513.0,1313688.0,1318787.0,1323619.0,1327040.0,1330509.0,1329590.0,1327730.0,1328231.0,1328895.0,1329076.0,1330719.0,1329453.0,1331479.0
MD,4216975.0,4261905.0,4282923.0,4313327.0,4365243.0,4413071.0,4486957.0,4565557.0,4657904.0,4727301.0,4799770.0,4867641.0,4923368.0,4971889.0,5023060.0,5070033.0,5111986.0,5157328.0,5204464.0,5254509.0,5311034.0,5374691.0,5440389.0,5496269.0,5546935.0,5592379.0,5627367.0,5653408.0,5684965.0,5730388.0,5788584.0,5843603.0,5889651.0,5931129.0,5967295.0,5994983.0,6016447.0
MA,5737037.0,5768685.0,5771222.0,5799407.0,5840773.0,5880733.0,5902678.0,5935204.0,5979982.0,6015478.0,6022639.0,6018470.0,6028709.0,6060569.0,6095241.0,6141445.0,6179756.0,6226058.0,6271838.0,6317345.0,6361104.0,6397634.0,6417206.0,6422565.0,6412281.0,6403290.0,6410084.0,6431559.0,6468967.0,6517613.0,6565524.0,6611923.0,6658008.0,6706786.0,6749911.0,6784240.0,6811779.0
MI,9262078.0,9209287.0,9115198.0,9047754.0,9049452.0,9076293.0,9127775.0,9187481.0,9217998.0,9253295.0,9311319.0,9400446.0,9479065.0,9540114.0,9597737.0,9676211.0,9758645.0,9809051.0,9847942.0,9897116.0,9952450.0,9991120.0,10015710.0,10041152.0,10055315.0,10051137.0,10036081.0,10001284.0,9946889.0,9901591.0,9877495.0,9876213.0,9887238.0,9898982.0,9915767.0,9917715.0,9928300.0
